BILHETE,DATA,EMITIDO,LOCAL,HORARIO,VALOR,ANIMAL
2,10/10/2021,3:33,2,1:49,539,24
3,30/07/2022,13:57,1,16:06,199,12
5,09/03/2022,1:46,2,12:55,362,25
6,24/09/2021,8:13,1,15:02,46,12
7,30/08/2022,7:40,2,20:38,392,2
8,12/07/2021,11:43,1,12:04,410,8
9,22/06/2022,11:23,1,6:23,167,5
10,08/06/2022,0:07,1,4:30,505,22
11,23/07/2022,14:41,2,8:53,363,16
12,23/06/2022,10:09,2,3:26,232,22
13,16/10/2021,8:01,1,3:27,663,20
14,18/09/2022,1:40,2,10:39,199,4
15,01/07/2022,22:12,1,8:48,955,14
16,25/05/2021,7:22,1,22:11,181,22
17,15/09/2021,8:36,2,19:39,265,7
18,20/03/2021,14:12,1,21:49,244,16
19,30/01/2022,13:07,2,5:16,428,15
20,16/11/2021,21:48,1,4:26,828,23
21,19/01/2022,6:15,1,2:53,10,23
22,05/07/2022,2:43,2,4:42,413,2
23,08/02/2021,0:48,2,18:12,714,13
24,17/01/2021,15:09,1,7:07,878,16
25,10/10/2021,2:41,2,11:29,188,15
26,09/04/2021,9:03,2,7:23,815,4
27,14/10/2021,20:54,2,11:30,433,5
28,02/02/2022,3:55,2,21:03,955,20
29,14/04/2022,2:24,2,8:05,931,19
30,31/12/2021,14:10,2,1:55,574,4
31,04/04/2022,4:11,1,19:10,616,5
32,11/08/2021,10:18,1,7:23,572,5
33,25/09/2021,21:25,1,21:56,772,12
34,28/08/2022,22:09,2,11:45,173,19
35,17/04/2022,9:41,2,19:15,890,22
36,08/07/2021,20:57,1,15:18,574,17
37,01/01/2021,4:44,2,20:37,702,2
38,16/12/2020,23:30,2,10:21,563,14
39,24/05/2022,18:41,2,18:59,843,13
40,16/06/2021,17:11,1,6:05,937,14
41,16/07/2022,17:45,1,9:37,316,22
42,19/09/2021,20:14,1,9:49,922,18
43,15/10/2022,10:12,2,23:52,367,20
44,03/07/2022,10:58,2,4:36,783,13
45,20/01/2021,6:26,2,2:08,371,13
46,04/03/2022,14:13,1,9:16,45,15
47,31/05/2022,21:44,2,12:25,989,5
48,09/04/2022,4:16,1,4:53,811,25
49,05/07/2021,17:50,1,16:40,219,12
50,03/05/2022,12:29,1,1:50,390,8
51,13/11/2021,2:06,2,18:24,764,1
52,15/07/2022,14:03,1,2:54,985,18
53,31/08/2022,16:25,1,16:44,156,9
54,08/07/2021,14:13,1,8:08,993,11
55,03/05/2022,3:36,1,6:39,739,8
56,16/07/2021,10:08,2,16:09,952,17
57,04/02/2022,19:57,1,12:06,343,21
58,23/04/2022,14:44,2,16:14,737,7
59,10/09/2022,20:24,2,4:03,274,20
60,20/08/2021,8:13,2,16:24,218,1
61,24/02/2021,13:49,2,17:17,66,8
62,19/04/2022,2:23,2,16:10,813,1
63,13/08/2021,6:18,1,15:15,272,22
64,08/05/2021,10:17,1,2:08,674,19
